PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
38577975,Anorexigenic neuropeptides as anti-obesity and neuroprotective agents: exploring the neuroprotective effects of anorexigenic neuropeptides,"Strnadová V, Pačesová A, Charvát V, Šmotková Z, Železná B, Kuneš J, Maletínská L.",Biosci Rep. 2024 Apr 24;44(4):BSR20231385. doi: 10.1042/BSR20231385.,Strnadová V,Biosci Rep,2024,05-04-2024,PMC11043025,,10.1042/BSR20231385
38577491,Clinical evidence of hyperbaric oxygen therapy for Alzheimer's disease: a systematic review and meta-analysis of randomized controlled trials,"Lin G, Zhao L, Lin J, Li X, Xu L.",Front Aging Neurosci. 2024 Mar 21;16:1360148. doi: 10.3389/fnagi.2024.1360148. eCollection 2024.,Lin G,Front Aging Neurosci,2024,05-04-2024,PMC10991696,,10.3389/fnagi.2024.1360148
38573101,The value of cholinesterase inhibitors for improving neuropsychiatric and functional assessment scores in patients with Alzheimer disease: a systematic review and meta-analysis of on placebo-controlled RCTs,"Zhang Y, Sun Y, Hu X, Yao Y, Wang J.",Int J Surg. 2024 Jun 1;110(6):3937-3945. doi: 10.1097/JS9.0000000000001381.,Zhang Y,Int J Surg,2024,04-04-2024,PMC11175821,,10.1097/JS9.0000000000001381
38571463,"Virgin coconut oil - its methods of extraction, properties and clinical usage: a review","Rao YL, Pai MM, Krishnaprasad PR, Pai MV, Murlimanju BV, Mohan A, Prabhu LV, Vadgaonkar R.",Clin Ter. 2024 Mar-Apr;175(2):83-91. doi: 10.7417/CT.2024.5037.,Rao YL,Clin Ter,2024,04-04-2024,,,10.7417/CT.2024.5037
38569102,Health Trajectories of Skilled Nursing Facility Patients With Alzheimer's Disease and Related Dementias: Evidence for Practicing Nurses,"Toles M, Ulmer C, Leeman J.",J Gerontol Nurs. 2024 Apr;50(4):34-41. doi: 10.3928/00989134-20240312-03. Epub 2024 Apr 1.,Toles M,J Gerontol Nurs,2024,03-04-2024,PMC11556862,NIHMS2011626,10.3928/00989134-20240312-03
38567735,Results from the long-term extension of PRIME: A randomized Phase 1b trial of aducanumab,"Chen T, O'Gorman J, Castrillo-Viguera C, Rajagovindan R, Curiale GG, Tian Y, Patel D, von Rosenstiel P, von Hehn C, Salloway S, Hock C, Nitsch RM, Haeberlein SB, Sandrock A, Singhal P.",Alzheimers Dement. 2024 May;20(5):3406-3415. doi: 10.1002/alz.13755. Epub 2024 Apr 3.,Chen T,Alzheimers Dement,2024,03-04-2024,PMC11095417,,10.1002/alz.13755
38565814,Long-acting exenatide does not prevent cognitive decline in mild cognitive impairment: a proof-of-concept clinical trial,"Dei Cas A, Micheli MM, Aldigeri R, Gardini S, Ferrari-Pellegrini F, Perini M, Messa G, Antonini M, Spigoni V, Cinquegrani G, Vazzana A, Moretti V, Caffarra P, Bonadonna RC.",J Endocrinol Invest. 2024 Sep;47(9):2339-2349. doi: 10.1007/s40618-024-02320-7. Epub 2024 Apr 2.,Dei Cas A,J Endocrinol Invest,2024,02-04-2024,PMC11368991,,10.1007/s40618-024-02320-7
38565747,The efficacy and safety of lecanemab 10 mg/kg biweekly compared to a placebo in patients with Alzheimer's disease: a systematic review and meta-analysis of randomized controlled trials,"Abdelazim K, Allam AA, Afifi B, Abdulazeem H, Elbehiry AI.",Neurol Sci. 2024 Aug;45(8):3583-3597. doi: 10.1007/s10072-024-07477-w. Epub 2024 Apr 3.,Abdelazim K,Neurol Sci,2024,02-04-2024,PMC11254984,,10.1007/s10072-024-07477-w
38561021,Minimal clinically important difference in Alzheimer's disease: Rapid review,"Muir RT, Hill MD, Black SE, Smith EE.",Alzheimers Dement. 2024 May;20(5):3352-3363. doi: 10.1002/alz.13770. Epub 2024 Apr 1.,Muir RT,Alzheimers Dement,2024,01-04-2024,PMC11095473,,10.1002/alz.13770
38559636,Periodontitis and Neuropathic Diseases: A Literature Review,"Cabanillas J, Risco R, Munive-Degregori A, Guerrero ME, Mauricio F, Mayta-Tovalino F.",J Int Soc Prev Community Dent. 2024 Jan 4;14(1):10-15. doi: 10.4103/jispcd.jispcd_68_22. eCollection 2024 Jan-Feb.,Cabanillas J,J Int Soc Prev Community Dent,2024,01-04-2024,PMC10980301,,10.4103/jispcd.jispcd_68_22
38558015,Progress in Pharmacologic Management of Neuropsychiatric Syndromes in Neurodegenerative Disorders: A Review,"Cummings J, Lanctot K, Grossberg G, Ballard C.",JAMA Neurol. 2024 Jun 1;81(6):645-653. doi: 10.1001/jamaneurol.2024.0586.,Cummings J,JAMA Neurol,2024,01-04-2024,PMC11164642,NIHMS1990063,10.1001/jamaneurol.2024.0586
38542700,"Exploring the Influence of Gut-Brain Axis Modulation on Cognitive Health: A Comprehensive Review of Prebiotics, Probiotics, and Symbiotics","Fekete M, Lehoczki A, Major D, Fazekas-Pongor V, Csípő T, Tarantini S, Csizmadia Z, Varga JT.",Nutrients. 2024 Mar 10;16(6):789. doi: 10.3390/nu16060789.,Fekete M,Nutrients,2024,28-03-2024,PMC10975805,,10.3390/nu16060789
38538229,Self-Modulation of Gamma-Band Synchronization through EEG-Neurofeedback Training in the Elderly,"Andrade K, Houmani N, Guieysse T, Razafimahatratra S, Klarsfeld A, Dreyfus G, Dubois B, Vialatte F, Medani T.",J Integr Neurosci. 2024 Mar 21;23(3):67. doi: 10.31083/j.jin2303067.,Andrade K,J Integr Neurosci,2024,27-03-2024,,,10.31083/j.jin2303067
38537670,Muscarinic Receptor Activators as Novel Treatments for Schizophrenia,"Paul SM, Yohn SE, Brannan SK, Neugebauer NM, Breier A.",Biol Psychiatry. 2024 Oct 15;96(8):627-637. doi: 10.1016/j.biopsych.2024.03.014. Epub 2024 Mar 25.,Paul SM,Biol Psychiatry,2024,27-03-2024,,,10.1016/j.biopsych.2024.03.014
38530578,A systematic review of goal attainment scaling implementation practices by caregivers in randomized controlled trials,"Cheema K, Dunn T, Chapman C, Rockwood K, Howlett SE, Sevinc G.",J Patient Rep Outcomes. 2024 Mar 26;8(1):37. doi: 10.1186/s41687-024-00716-w.,Cheema K,J Patient Rep Outcomes,2024,26-03-2024,PMC10965877,,10.1186/s41687-024-00716-w
38518653,Dynamics and prognostic value of serum neurofilament light chain in Guillain-Barré syndrome,"van Tilburg SJ, Teunissen CE, Maas CCHM, Thomma RCM, Walgaard C, Heijst H, Huizinga R, van Doorn PA, Jacobs BC.",EBioMedicine. 2024 Apr;102:105072. doi: 10.1016/j.ebiom.2024.105072. Epub 2024 Mar 22.,van Tilburg SJ,EBioMedicine,2024,22-03-2024,PMC10980997,,10.1016/j.ebiom.2024.105072
38513821,Non-invasive sound wave brain stimulation with Transcranial Pulse Stimulation (TPS) improves neuropsychiatric symptoms in Alzheimer's disease,"Shinzato GT, Assone T, Sandler PC, Pacheco-Barrios K, Fregni F, Radanovic M, Forlenza OV, Battistella LR.",Brain Stimul. 2024 Mar-Apr;17(2):413-415. doi: 10.1016/j.brs.2024.03.007. Epub 2024 Mar 20.,Shinzato GT,Brain Stimul,2024,21-03-2024,,,10.1016/j.brs.2024.03.007
38508080,Mechanistic insights into the potential role of dietary polyphenols and their nanoformulation in the management of Alzheimer's disease,"Albadrani HM, Chauhan P, Ashique S, Babu MA, Iqbal D, Almutary AG, Abomughaid MM, Kamal M, Paiva-Santos AC, Alsaweed M, Hamed M, Sachdeva P, Dewanjee S, Jha SK, Ojha S, Slama P, Jha NK.",Biomed Pharmacother. 2024 May;174:116376. doi: 10.1016/j.biopha.2024.116376. Epub 2024 Mar 19.,Albadrani HM,Biomed Pharmacother,2024,20-03-2024,,,10.1016/j.biopha.2024.116376
38501109,Systematic review and meta-analysis of the effects of menopause hormone therapy on cognition,"Andy C, Nerattini M, Jett S, Carlton C, Zarate C, Boneu C, Fauci F, Ajila T, Battista M, Pahlajani S, Christos P, Fink ME, Williams S, Brinton RD, Mosconi L.",Front Endocrinol (Lausanne). 2024 Mar 4;15:1350318. doi: 10.3389/fendo.2024.1350318. eCollection 2024.,Andy C,Front Endocrinol (Lausanne),2024,19-03-2024,PMC10944893,,10.3389/fendo.2024.1350318
38488949,The impact of exercise on blood-based biomarkers of Alzheimer's disease in cognitively unimpaired older adults,"Sewell KR, Rainey-Smith SR, Pedrini S, Peiffer JJ, Sohrabi HR, Taddei K, Markovic SJ, Martins RN, Brown BM.",Geroscience. 2024 Dec;46(6):5911-5923. doi: 10.1007/s11357-024-01130-2. Epub 2024 Mar 15.,Sewell KR,Geroscience,2024,15-03-2024,PMC11493998,,10.1007/s11357-024-01130-2
38486359,The Effects of Exergame Telerehabilitation in Persons With Subjective Cognitive Decline,"Salisbury DL, Pituch KA, Yu F.",Gerontologist. 2024 Jun 1;64(6):gnae028. doi: 10.1093/geront/gnae028.,Salisbury DL,Gerontologist,2024,15-03-2024,PMC11138364,,10.1093/geront/gnae028
38482571,Peripheral vascular function in stroke: systematic review and meta-analysis,"Bartsch BL, Hazen EM, Montgomery RN, Trieu C, Britton-Carpenter AJ, Billinger SA.",J Appl Physiol (1985). 2024 May 1;136(5):1182-1194. doi: 10.1152/japplphysiol.00601.2023. Epub 2024 Mar 14.,Bartsch BL,J Appl Physiol (1985),2024,14-03-2024,PMC11368525,,10.1152/japplphysiol.00601.2023
38477423,Adapted problem adaptation therapy for depression in mild to moderate Alzheimer's disease dementia: A randomized controlled trial,"Howard R, Cort E, Rawlinson C, Wiegand M, Downey A, Lawrence V, Banerjee S, Bentham P, Fox C, Harwood R, Hunter R, Livingston G, Moniz-Cook E, Panca M, Raczek M, Ivenso C, Russell G, Thomas A, Wilkinson P, Freemantle N, Gould R.",Alzheimers Dement. 2024 Apr;20(4):2990-2999. doi: 10.1002/alz.13766. Epub 2024 Mar 13.,Howard R,Alzheimers Dement,2024,13-03-2024,PMC11032547,,10.1002/alz.13766
38476498,The influence of pharmacist-led collaborative care on clinical outcomes in type 2 diabetes mellitus: a multicenter randomized control trial,"Iqbal MZ, Alqahtani SS, Mubarak N, Shahid S, Mohammed R, Mustafa A, Khan AH, Iqbal MS.",Front Public Health. 2024 Feb 27;12:1323102. doi: 10.3389/fpubh.2024.1323102. eCollection 2024.,Iqbal MZ,Front Public Health,2024,13-03-2024,PMC10929610,,10.3389/fpubh.2024.1323102
38474254,Lactiplantibacillus (Lactobacillus) plantarum as a Complementary Treatment to Improve Symptomatology in Neurodegenerative Disease: A Systematic Review of Open Access Literature,"Beltrán-Velasco AI, Reiriz M, Uceda S, Echeverry-Alzate V.",Int J Mol Sci. 2024 Mar 5;25(5):3010. doi: 10.3390/ijms25053010.,Beltrán-Velasco AI,Int J Mol Sci,2024,13-03-2024,PMC10931784,,10.3390/ijms25053010
38474192,Update on Antioxidant Therapy with Edaravone: Expanding Applications in Neurodegenerative Diseases,"Yamashita T, Abe K.",Int J Mol Sci. 2024 Mar 3;25(5):2945. doi: 10.3390/ijms25052945.,Yamashita T,Int J Mol Sci,2024,13-03-2024,PMC10932469,,10.3390/ijms25052945
38471120,A span-based model for extracting overlapping PICO entities from randomized controlled trial publications,"Zhang G, Zhou Y, Hu Y, Xu H, Weng C, Peng Y.",J Am Med Inform Assoc. 2024 Apr 19;31(5):1163-1171. doi: 10.1093/jamia/ocae065.,Zhang G,J Am Med Inform Assoc,2024,12-03-2024,PMC11031223,,10.1093/jamia/ocae065
38469572,Iron quantification in basal ganglia: quantitative susceptibility mapping as a potential biomarker for Alzheimer's disease - a systematic review and meta-analysis,"Ghaderi S, Mohammadi S, Nezhad NJ, Karami S, Sayehmiri F.",Front Neurosci. 2024 Feb 26;18:1338891. doi: 10.3389/fnins.2024.1338891. eCollection 2024.,Ghaderi S,Front Neurosci,2024,12-03-2024,PMC10925682,,10.3389/fnins.2024.1338891
38468511,"Head Injury Treatment With Healthy and Advanced Dietary Supplements: A Pilot Randomized Controlled Trial of the Tolerability, Safety, and Efficacy of Branched Chain Amino Acids in the Treatment of Concussion in Adolescents and Young Adults","Corwin DJ, Myers SR, Arbogast KB, Lim MM, Elliott JE, Metzger KB, LeRoux P, Elkind J, Metheny H, Berg J, Pettijohn K, Master CL, Kirschen MP, Cohen AS.",J Neurotrauma. 2024 Jun;41(11-12):1299-1309. doi: 10.1089/neu.2023.0433. Epub 2024 Apr 11.,Corwin DJ,J Neurotrauma,2024,12-03-2024,PMC11339555,,10.1089/neu.2023.0433
38462491,The effectiveness of exercise interventions targeting sleep in older adults with cognitive impairment or Alzheimer's disease and related dementias (AD/ADRD): A systematic review and meta-analysis,"Páez A, Frimpong E, Mograss M, Dang-Vu TT.",J Sleep Res. 2024 Dec;33(6):e14189. doi: 10.1111/jsr.14189. Epub 2024 Mar 10.,Páez A,J Sleep Res,2024,10-03-2024,PMC11597006,,10.1111/jsr.14189
38461816,Motoric Cognitive Risk Syndrome and the Risk of Incident Dementia: A Systematic Review and Meta-Analysis of Cohort Studies,"Xu W, Bai A, Liang Y, Lin Z.",Gerontology. 2024;70(5):479-490. doi: 10.1159/000535082. Epub 2024 Mar 8.,Xu W,Gerontology,2024,10-03-2024,PMC11098020,,10.1159/000535082
38461634,Effects of chronic intranasal oxytocin on visual attention to faces vs. natural scenes in older adults,"Shoenfelt A, Pehlivanoglu D, Lin T, Ziaei M, Feifel D, Ebner NC.",Psychoneuroendocrinology. 2024 Jun;164:107018. doi: 10.1016/j.psyneuen.2024.107018. Epub 2024 Mar 4.,Shoenfelt A,Psychoneuroendocrinology,2024,10-03-2024,PMC11699979,NIHMS2044924,10.1016/j.psyneuen.2024.107018
38457150,Can Physical Exercise Be Considered as a Promising Enhancer of Global Cognition in People with Parkinson's Disease? Results of a Systematic Review and Meta-Analysis,"Folkerts AK, Ernst M, Gollan R, Cryns N, Monsef I, Skoetz N, Kalbe E.",J Parkinsons Dis. 2024;14(s1):S115-S133. doi: 10.3233/JPD-230343.,Folkerts AK,J Parkinsons Dis,2024,08-03-2024,PMC11380223,,10.3233/JPD-230343
38457007,Learning ratio performance on a brief visual learning and memory test moderates cognitive training gains in Double Decision task in healthy older adults,"Hardcastle C, Kraft JN, Hausman HK, O'Shea A, Albizu A, Evangelista ND, Boutzoukas EM, Van Etten EJ, Bharadwaj PK, Song H, Smith SG, Porges E, DeKosky ST, Hishaw GA, Wu SS, Marsiske M, Cohen R, Alexander GE, Woods AJ.",Geroscience. 2024 Aug;46(4):3929-3943. doi: 10.1007/s11357-024-01115-1. Epub 2024 Mar 8.,Hardcastle C,Geroscience,2024,08-03-2024,PMC11226577,,10.1007/s11357-024-01115-1
38451331,Markers for the detection of Lewy body disease versus Alzheimer's disease in mild cognitive impairment: a systematic review and meta-analysis,"Burgio MI, Veronese N, Sarà D, Saccaro C, Masnata R, Vassallo G, Catania A, Catanese G, Mueller C, Smith L, Dominguez LJ, Vernuccio L, Barbagallo M.",Aging Clin Exp Res. 2024 Mar 7;36(1):60. doi: 10.1007/s40520-024-02704-y.,Burgio MI,Aging Clin Exp Res,2024,07-03-2024,PMC10920203,,10.1007/s40520-024-02704-y
38447959,Cannabinoids for Behavioral Symptoms in Dementia: An Overview,"Broers B, Bianchi F.",Pharmacopsychiatry. 2024 May;57(3):160-168. doi: 10.1055/a-2262-7837. Epub 2024 Mar 6.,Broers B,Pharmacopsychiatry,2024,06-03-2024,,,10.1055/a-2262-7837
38442672,"Phytochemicals targeting Alzheimer's disease via the AMP-activated protein kinase pathway, effects, and mechanisms of action","Zhao Z, Yan J, Huang L, Yang X.",Biomed Pharmacother. 2024 Apr;173:116373. doi: 10.1016/j.biopha.2024.116373. Epub 2024 Mar 4.,Zhao Z,Biomed Pharmacother,2024,05-03-2024,,,10.1016/j.biopha.2024.116373
38441832,Insulin Delivery to the Brain via the Nasal Route: Unraveling the Potential for Alzheimer's Disease Therapy,"Wong CYJ, Baldelli A, Hoyos CM, Tietz O, Ong HX, Traini D.",Drug Deliv Transl Res. 2024 Jul;14(7):1776-1793. doi: 10.1007/s13346-024-01558-1. Epub 2024 Mar 5.,Wong CYJ,Drug Deliv Transl Res,2024,05-03-2024,PMC11153287,,10.1007/s13346-024-01558-1
38439609,Safety and efficacy of acetylcholinesterase inhibitors for Alzheimer's disease: A systematic review and meta-analysis,"Gao Y, Liu Y, Li Y.",Adv Clin Exp Med. 2024 Nov;33(11):1179-1187. doi: 10.17219/acem/176051.,Gao Y,Adv Clin Exp Med,2024,05-03-2024,,,10.17219/acem/176051
38438012,tDCS reduces depression and state anxiety symptoms in older adults from the augmenting cognitive training in older adults study (ACT),"Hausman HK, Alexander GE, Cohen R, Marsiske M, DeKosky ST, Hishaw GA, O'Shea A, Kraft JN, Dai Y, Wu S, Woods AJ.",Brain Stimul. 2024 Mar-Apr;17(2):283-311. doi: 10.1016/j.brs.2024.02.021. Epub 2024 Mar 2.,Hausman HK,Brain Stimul,2024,04-03-2024,PMC11110843,NIHMS1991135,10.1016/j.brs.2024.02.021
38436963,Dementia Prevention and Treatment: A Narrative Review,"Reuben DB, Kremen S, Maust DT.",JAMA Intern Med. 2024 May 1;184(5):563-572. doi: 10.1001/jamainternmed.2023.8522.,Reuben DB,JAMA Intern Med,2024,04-03-2024,,,10.1001/jamainternmed.2023.8522
38430933,Associations of environmental factors with neurodegeneration: An exposome-wide Mendelian randomization investigation,"Li D, Zhou L, Cao Z, Wang J, Yang H, Lyu M, Zhang Y, Yang R, Wang J, Bian Y, Xu W, Wang Y.",Ageing Res Rev. 2024 Mar;95:102254. doi: 10.1016/j.arr.2024.102254. Epub 2024 Feb 29.,Li D,Ageing Res Rev,2024,02-03-2024,,,10.1016/j.arr.2024.102254
38427486,Tau Immunotherapies for Alzheimer's Disease and Related Tauopathies: Status of Trials and Insights from Preclinical Studies,Sigurdsson EM.,J Alzheimers Dis. 2024;101(s1):S129-S140. doi: 10.3233/JAD-231238.,Sigurdsson EM,J Alzheimers Dis,2024,01-03-2024,PMC11587787,NIHMS2033116,10.3233/JAD-231238
38427485,Safety Profile of Pimavanserin Therapy in Elderly Patients with Neurodegenerative Disease-Related Neuropsychiatric Symptoms: A Phase 3B Study,"Alva G, Cubała WJ, Berrio A, Coate B, Abler V, Pathak S.",J Alzheimers Dis. 2024;98(1):265-274. doi: 10.3233/JAD-231167.,Alva G,J Alzheimers Dis,2024,01-03-2024,PMC10977351,,10.3233/JAD-231167
38427480,Unlocking the Potential of Repetitive Transcranial Magnetic Stimulation in Alzheimer's Disease: A Meta-Analysis of Randomized Clinical Trials to Optimize Intervention Strategies,"Li S, Lan X, Liu Y, Zhou J, Pei Z, Su X, Guo Y.",J Alzheimers Dis. 2024;98(2):481-503. doi: 10.3233/JAD-231031.,Li S,J Alzheimers Dis,2024,01-03-2024,PMC10977421,,10.3233/JAD-231031
38426329,"Hypertension, Neurodegeneration, and Cognitive Decline","Pacholko A, Iadecola C.",Hypertension. 2024 May;81(5):991-1007. doi: 10.1161/HYPERTENSIONAHA.123.21356. Epub 2024 Mar 1.,Pacholko A,Hypertension,2024,01-03-2024,PMC11023809,NIHMS1967823,10.1161/HYPERTENSIONAHA.123.21356
38424433,Proton Pump Inhibitors and Cognitive Health: Review on Unraveling the Dementia Connection and Co-morbid Risks,"Khan Z, Mehan S, Saifi MA, Gupta GD, Narula AS, Kalfin R.",Curr Alzheimer Res. 2024;20(11):739-757. doi: 10.2174/0115672050289946240223050737.,Khan Z,Curr Alzheimer Res,2024,29-02-2024,PMC11107432,,10.2174/0115672050289946240223050737
38423195,The association of glucose metabolism measures and diabetes status with Alzheimer's disease biomarkers of amyloid and tau: A systematic review and meta-analysis,"van Gils V, Rizzo M, Côté J, Viechtbauer W, Fanelli G, Salas-Salvadó J, Wimberley T, Bulló M, Fernandez-Aranda F, Dalsgaard S, Visser PJ, Jansen WJ, Vos SJB.",Neurosci Biobehav Rev. 2024 Apr;159:105604. doi: 10.1016/j.neubiorev.2024.105604. Epub 2024 Feb 27.,van Gils V,Neurosci Biobehav Rev,2024,29-02-2024,,,10.1016/j.neubiorev.2024.105604
38420112,"A review: effects of neurofeedback on patients with mild cognitive impairment (MCI), and Alzheimer's disease (AD)",Tazaki M.,Front Hum Neurosci. 2024 Feb 14;17:1331436. doi: 10.3389/fnhum.2023.1331436. eCollection 2023.,Tazaki M,Front Hum Neurosci,2024,29-02-2024,PMC10899454,,10.3389/fnhum.2023.1331436
38419903,"Sleep, mood disorders, and the ketogenic diet: potential therapeutic targets for bipolar disorder and schizophrenia","Choi J, Kang J, Kim T, Nehs CJ.",Front Psychiatry. 2024 Feb 14;15:1358578. doi: 10.3389/fpsyt.2024.1358578. eCollection 2024.,Choi J,Front Psychiatry,2024,29-02-2024,PMC10899493,,10.3389/fpsyt.2024.1358578
38414633,A case for seeking sex-specific treatments in Alzheimer's disease,Lynch MA.,Front Aging Neurosci. 2024 Feb 13;16:1346621. doi: 10.3389/fnagi.2024.1346621. eCollection 2024.,Lynch MA,Front Aging Neurosci,2024,28-02-2024,PMC10897030,,10.3389/fnagi.2024.1346621
38405664,Neuroprotective effects of dipeptidyl peptidase 4 inhibitor on Alzheimer's disease: a narrative review,"Jiang X, Li J, Yao X, Ding H, Gu A, Zhou Z.",Front Pharmacol. 2024 Feb 9;15:1361651. doi: 10.3389/fphar.2024.1361651. eCollection 2024.,Jiang X,Front Pharmacol,2024,26-02-2024,PMC10884281,,10.3389/fphar.2024.1361651
38405341,Prognostic and Predictive Factors in Early Alzheimer's Disease: A Systematic Review,"Garcia MJ, Leadley R, Ross J, Bozeat S, Redhead G, Hansson O, Iwatsubo T, Villain N, Cummings J.",J Alzheimers Dis Rep. 2024 Feb 16;8(1):203-240. doi: 10.3233/ADR-230045. eCollection 2024.,Garcia MJ,J Alzheimers Dis Rep,2024,26-02-2024,PMC10894607,,10.3233/ADR-230045
38399380,[(18)F]Fluspidine-A PET Tracer for Imaging of σ(1) Receptors in the Central Nervous System,"Ludwig FA, Laurini E, Schmidt J, Pricl S, Deuther-Conrad W, Wünsch B.",Pharmaceuticals (Basel). 2024 Jan 28;17(2):166. doi: 10.3390/ph17020166.,Ludwig FA,Pharmaceuticals (Basel),2024,24-02-2024,PMC10892410,,10.3390/ph17020166
38399373,Navigating the Frontiers of Machine Learning in Neurodegenerative Disease Therapeutics,"Cha Y, Kagalwala MN, Ross J.",Pharmaceuticals (Basel). 2024 Jan 25;17(2):158. doi: 10.3390/ph17020158.,Cha Y,Pharmaceuticals (Basel),2024,24-02-2024,PMC10891920,,10.3390/ph17020158
38397037,Gold Nanoparticles in Neurological Diseases: A Review of Neuroprotection,"Chiang MC, Yang YP, Nicol CJB, Wang CJ.",Int J Mol Sci. 2024 Feb 17;25(4):2360. doi: 10.3390/ijms25042360.,Chiang MC,Int J Mol Sci,2024,24-02-2024,PMC10888679,,10.3390/ijms25042360
38396804,The Potential Use of Vitamin D3 and Phytochemicals for Their Anti-Ageing Effects,"Santa K, Kumazawa Y, Watanabe K, Nagaoka I.",Int J Mol Sci. 2024 Feb 9;25(4):2125. doi: 10.3390/ijms25042125.,Santa K,Int J Mol Sci,2024,24-02-2024,PMC10889119,,10.3390/ijms25042125
38396302,New precision medicine avenues to the prevention of Alzheimer's disease from insights into the structure and function of γ-secretases,"De Strooper B, Karran E.",EMBO J. 2024 Mar;43(6):887-903. doi: 10.1038/s44318-024-00057-w. Epub 2024 Feb 23.,De Strooper B,EMBO J,2024,24-02-2024,PMC10943082,,10.1038/s44318-024-00057-w
38393913,Vaccines and Dementia: Part II. Efficacy of BCG and Other Vaccines Against Dementia,"Greenblatt CL, Lathe R.",J Alzheimers Dis. 2024;98(2):361-372. doi: 10.3233/JAD-231323.,Greenblatt CL,J Alzheimers Dis,2024,23-02-2024,PMC10977380,,10.3233/JAD-231323
38393051,Oleaginous Microbial Lipids' Potential in the Prevention and Treatment of Neurological Disorders,"Alhattab M, Moorthy LS, Patel D, Franco CMM, Puri M.",Mar Drugs. 2024 Feb 6;22(2):80. doi: 10.3390/md22020080.,Alhattab M,Mar Drugs,2024,23-02-2024,PMC10890163,,10.3390/md22020080
38392012,Electrochemical Acetylcholinesterase Sensors for Anti-Alzheimer's Disease Drug Determination,"Ivanov A, Shamagsumova R, Larina M, Evtugyn G.",Biosensors (Basel). 2024 Feb 9;14(2):93. doi: 10.3390/bios14020093.,Ivanov A,Biosensors (Basel),2024,23-02-2024,PMC10886970,,10.3390/bios14020093
38389785,Tinnitus-associated cognitive and psychological impairments: a comprehensive review meta-analysis,"Yang D, Zhang D, Zhang X, Li X.",Front Neurosci. 2024 Feb 8;18:1275560. doi: 10.3389/fnins.2024.1275560. eCollection 2024.,Yang D,Front Neurosci,2024,23-02-2024,PMC10881733,,10.3389/fnins.2024.1275560
38386949,"Assessment of Efficacy and Safety of Zagotenemab: Results From PERISCOPE-ALZ, a Phase 2 Study in Early Symptomatic Alzheimer Disease","Fleisher AS, Munsie LM, Perahia DGS, Andersen SW, Higgins IA, Hauck PM, Lo AC, Sims JR, Brys M, Mintun M; PERISCOPE-ALZ Site Investigators.",Neurology. 2024 Mar 12;102(5):e208061. doi: 10.1212/WNL.0000000000208061. Epub 2024 Feb 22.,Fleisher AS,Neurology,2024,22-02-2024,PMC11067698,,10.1212/WNL.0000000000208061
38386173,Multidomain interventions for sarcopenia and cognitive flexibility in older adults for promoting healthy aging: a systematic review and meta-analysis of randomized controlled trials,"García-Llorente AM, Casimiro-Andújar AJ, Linhares DG, De Souza Vale RG, Marcos-Pardo PJ.",Aging Clin Exp Res. 2024 Feb 22;36(1):47. doi: 10.1007/s40520-024-02700-2.,García-Llorente AM,Aging Clin Exp Res,2024,22-02-2024,PMC10884056,,10.1007/s40520-024-02700-2
38385077,Polyphenols Targeting NF-κB Pathway in Neurological Disorders: What We Know So Far?,"Mamun AA, Shao C, Geng P, Wang S, Xiao J.",Int J Biol Sci. 2024 Jan 27;20(4):1332-1355. doi: 10.7150/ijbs.90982. eCollection 2024.,Mamun AA,Int J Biol Sci,2024,22-02-2024,PMC10878147,,10.7150/ijbs.90982
38382942,Monoclonal antibody therapy for Alzheimer's disease focusing on intracerebral targets,"Gu X, Qi L, Qi Q, Zhou J, Chen S, Wang L.",Biosci Trends. 2024 Mar 19;18(1):49-65. doi: 10.5582/bst.2023.01288. Epub 2024 Feb 21.,Gu X,Biosci Trends,2024,21-02-2024,,,10.5582/bst.2023.01288
38379273,An analysis of omega-3 clinical trials and a call for personalized supplementation for dementia prevention,"Castellanos-Perilla N, Borda MG, Aarsland D, Barreto GE.",Expert Rev Neurother. 2024 Mar;24(3):313-324. doi: 10.1080/14737175.2024.2313547. Epub 2024 Feb 20.,Castellanos-Perilla N,Expert Rev Neurother,2024,21-02-2024,PMC11090157,,10.1080/14737175.2024.2313547
38378160,A Meta-Analysis of Fall Risk in Older Adults With Alzheimer's Disease,"Mahmoudzadeh Khalili S, Simpkins C, Yang F.",J Am Med Dir Assoc. 2024 May;25(5):781-788.e3. doi: 10.1016/j.jamda.2024.01.005. Epub 2024 Feb 17.,Mahmoudzadeh Khalili S,J Am Med Dir Assoc,2024,20-02-2024,PMC11065606,NIHMS1963353,10.1016/j.jamda.2024.01.005
38361643,Comparative efficacy of various exercise interventions on sleep in patients with cognitive impairment: a systematic review and meta-analysis,"Zhang J, Liu Y, Sun Q, Shi J, Ni J, Li T, Long Z, Wei M, Tian J.",Front Neurol. 2024 Feb 1;15:1300459. doi: 10.3389/fneur.2024.1300459. eCollection 2024.,Zhang J,Front Neurol,2024,16-02-2024,PMC10867314,,10.3389/fneur.2024.1300459
